date,stars,source,observed_at
2026-07-06,2,reconstructed,
2026-07-07,2,reconstructed,
2026-07-08,2,reconstructed,
2026-07-09,3,reconstructed,
2026-07-10,3,reconstructed,
2026-07-11,8,reconstructed,
2026-07-12,8,reconstructed,
2026-07-13,8,reconstructed,
2026-07-14,9,reconstructed,
2026-07-15,10,reconstructed,
2026-07-16,10,reconstructed,
2026-07-17,10,reconstructed,
2026-07-18,10,reconstructed,
2026-07-19,10,reconstructed,
2026-07-20,10,reconstructed,
2026-07-21,11,reconstructed,
2026-07-22,11,reconstructed,
2026-07-23,11,reconstructed,
2026-07-24,11,reconstructed,
2026-07-25,11,reconstructed,
2026-07-26,11,reconstructed,
2026-07-27,11,reconstructed,
2026-07-28,13,reconstructed,
2026-07-29,13,reconstructed,
2026-07-30,13,reconstructed,
2026-07-31,14,reconstructed,
2026-08-01,15,reconstructed,
2026-08-02,16,reconstructed,
2026-08-03,18,reconstructed,
2026-08-04,18,reconstructed,
2026-08-05,18,reconstructed,
2026-08-06,18,reconstructed,
2026-08-07,18,reconstructed,
2026-08-08,19,reconstructed,
2026-08-09,19,reconstructed,
2026-08-10,25,reconstructed,
2026-08-11,29,reconstructed,
2026-08-12,31,reconstructed,
2026-08-13,33,reconstructed,
2026-08-14,34,reconstructed,
2026-08-15,35,reconstructed,
2026-08-16,35,reconstructed,
2026-08-17,40,reconstructed,
2026-08-18,42,reconstructed,
2026-08-19,43,reconstructed,
2026-08-20,43,reconstructed,
2026-08-21,44,reconstructed,
2026-08-22,44,reconstructed,
2026-08-23,46,reconstructed,
2026-08-24,46,reconstructed,
2026-08-25,48,reconstructed,
2026-08-26,48,reconstructed,
2026-08-27,48,reconstructed,
2026-08-28,49,reconstructed,
2026-08-29,51,reconstructed,
2026-08-30,52,reconstructed,
2026-08-31,52,reconstructed,
2026-09-01,53,reconstructed,
2026-09-02,55,reconstructed,
